rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,MURAKAMI Eishiro,JPN,"Aug 08, 1995",143.60,A,170,-180,180,180,+102kgMen,Snatch,604,False
---,KUCERA Kamil,CZE,"Mar 19, 1985",141.90,A,100,110,---,110,+102kgMen,Snatch,604,False
---,ELSAYED Abdelrahman Mohamed A. A.,EGY,"May 19, 1989",138.40,A,178,183,-190,183,+102kgMen,Snatch,604,False
---,RUBAIAWI Ali Ammar Yusur,IRQ,"Aug 02, 2004",134.85,A,-195,195,200,200,+102kgMen,Snatch,604,False
---,ASAAD Man,SYR,"Nov 20, 1993",161.45,A,191,197,-201,197,+102kgMen,Snatch,604,False
---,DAVOUDI Ali,IRI,"Mar 22, 1999",179.00,A,-200,201,205,205,+102kgMen,Snatch,604,False
---,MINASYAN Gor Tigran A.,BRN,"Oct 25, 1994",153.85,A,210,216,-220,216,+102kgMen,Snatch,604,False
---,LALAYAN Varazdat,ARM,"May 01, 1999",153.15,A,210,215,-218,215,+102kgMen,Snatch,604,False
---,TALAKHADZE Lasha,GEO,"Oct 02, 1993",178.45,A,210,215,-220,215,+102kgMen,Snatch,604,False
---,BIDANI Walid,ALG,"Jun 11, 1994",146.65,A,-190,-190,---,---,+102kgMen,Snatch,604,False
---,LITI David Andrew,NZL,"Jul 11, 1996",175.95,A,224,231,-235,231,+102kgMen,CleanJerk,604,False
---,SEIM Mart,EST,"Oct 24, 1990",152.80,A,220,-237,-237,220,+102kgMen,CleanJerk,604,False
---,MURAKAMI Eishiro,JPN,"Aug 08, 1995",143.60,A,200,220,-230,220,+102kgMen,CleanJerk,604,False
---,KUCERA Kamil,CZE,"Mar 19, 1985",141.90,A,120,140,---,140,+102kgMen,CleanJerk,604,False
---,ELSAYED Abdelrahman Mohamed A. A.,EGY,"May 19, 1989",138.40,A,225,-233,233,233,+102kgMen,CleanJerk,604,False
---,RUBAIAWI Ali Ammar Yusur,IRQ,"Aug 02, 2004",134.85,A,230,237,-247,237,+102kgMen,CleanJerk,604,False
---,ASAAD Man,SYR,"Nov 20, 1993",161.45,A,235,241,-253,241,+102kgMen,CleanJerk,604,False
---,DAVOUDI Ali,IRI,"Mar 22, 1999",179.00,A,242,-257,-257,242,+102kgMen,CleanJerk,604,False
---,MINASYAN Gor Tigran A.,BRN,"Oct 25, 1994",153.85,A,245,-255,-255,245,+102kgMen,CleanJerk,604,False
---,LALAYAN Varazdat,ARM,"May 01, 1999",153.15,A,247,252,-256,252,+102kgMen,CleanJerk,604,False
---,TALAKHADZE Lasha,GEO,"Oct 02, 1993",178.45,A,247,255,---,255,+102kgMen,CleanJerk,604,False
---,BIDANI Walid,ALG,"Jun 11, 1994",146.65,A,---,---,---,---,+102kgMen,CleanJerk,604,False
1,TALAKHADZE Lasha,GEO,"Oct 02, 1993",178.45,A,215,255,470,---,+102kgMen,Total,604,False
2,LALAYAN Varazdat,ARM,"May 01, 1999",153.15,A,215,252,467,---,+102kgMen,Total,604,False
3,MINASYAN Gor Tigran A.,BRN,"Oct 25, 1994",153.85,A,216,245,461,---,+102kgMen,Total,604,False
4,DAVOUDI Ali,IRI,"Mar 22, 1999",179.00,A,205,242,447,---,+102kgMen,Total,604,False
5,ASAAD Man,SYR,"Nov 20, 1993",161.45,A,197,241,438,---,+102kgMen,Total,604,False
6,RUBAIAWI Ali Ammar Yusur,IRQ,"Aug 02, 2004",134.85,A,200,237,437,---,+102kgMen,Total,604,False
7,ELSAYED Abdelrahman Mohamed A. A.,EGY,"May 19, 1989",138.40,A,183,233,416,---,+102kgMen,Total,604,False
8,LITI David Andrew,NZL,"Jul 11, 1996",175.95,A,184,231,415,---,+102kgMen,Total,604,False
9,SEIM Mart,EST,"Oct 24, 1990",152.80,A,180,220,400,---,+102kgMen,Total,604,False
10,MURAKAMI Eishiro,JPN,"Aug 08, 1995",143.60,A,180,220,400,---,+102kgMen,Total,604,False
11,KUCERA Kamil,CZE,"Mar 19, 1985",141.90,A,110,140,250,---,+102kgMen,Total,604,False
---,BIDANI Walid,ALG,"Jun 11, 1994",146.65,A,---,---,---,---,+102kgMen,Total,604,False
---,HOU Zhihui,CHN,"Mar 18, 1997",49.00,A,-89,89,-93,89,49kgWomen,Snatch,604,False
---,STERCKX Nina,BEL,"Jul 26, 2002",49.00,A,-86,-86,-86,---,49kgWomen,Snatch,604,False
---,LAGATAO Nicola,GUM,"Nov 10, 1991",48.45,A,56,59,-62,59,49kgWomen,Snatch,604,False
---,RANDAFIARISON Rosina,MAD,"Dec 29, 1999",48.20,A,75,80,-83,80,49kgWomen,Snatch,604,False
---,ECHANDIA ZARATE Katherin Oriana,VEN,"Aug 14, 2001",49.00,A,83,-86,-86,83,49kgWomen,Snatch,604,False
---,SUZUKI Rira,JPN,"Sep 06, 1998",48.80,A,83,-85,-85,83,49kgWomen,Snatch,604,False
---,PIRON CANDELARIO Beatriz Elizabeth,DOM,"Feb 27, 1995",49.00,A,85,-88,-88,85,49kgWomen,Snatch,604,False
---,FANG Wan Ling,TPE,"Dec 01, 1999",49.00,A,80,83,86,86,49kgWomen,Snatch,604,False
---,DELACRUZ Jourdan Elizabeth,USA,"May 20, 1998",49.00,A,84,-87,-88,84,49kgWomen,Snatch,604,False
---,MIRABAI Chanu Saikhom,IND,"Aug 08, 1994",48.80,A,85,-88,88,88,49kgWomen,Snatch,604,False
---,KHAMBAO Surodchana,THA,"Dec 23, 1999",49.00,A,86,-88,88,88,49kgWomen,Snatch,604,False
---,CAMBEI Mihaela-Valentina,ROU,"Nov 18, 2002",49.00,A,89,91,93,93,49kgWomen,Snatch,604,False
---,HOU Zhihui,CHN,"Mar 18, 1997",49.00,A,110,-117,117,117,49kgWomen,CleanJerk,604,False
---,STERCKX Nina,BEL,"Jul 26, 2002",49.00,A,---,---,---,---,49kgWomen,CleanJerk,604,False
---,LAGATAO Nicola,GUM,"Nov 10, 1991",48.45,A,74,77,-79,77,49kgWomen,CleanJerk,604,False
---,RANDAFIARISON Rosina,MAD,"Dec 29, 1999",48.20,A,95,-100,100,100,49kgWomen,CleanJerk,604,False
---,ECHANDIA ZARATE Katherin Oriana,VEN,"Aug 14, 2001",49.00,A,105,-107,-109,105,49kgWomen,CleanJerk,604,False
---,SUZUKI Rira,JPN,"Sep 06, 1998",48.80,A,108,-112,-117,108,49kgWomen,CleanJerk,604,False
---,PIRON CANDELARIO Beatriz Elizabeth,DOM,"Feb 27, 1995",49.00,A,102,107,-110,107,49kgWomen,CleanJerk,604,False
