rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
3,TABAGARI Gervasi,GEO,"Jan 22, 2005",95.80,A,143,147,151,151,96kgMen,Snatch,579,False
4,GEVORGYAN Feliks,ARM,"Jan 16, 2004",93.10,A,-145,145,-150,145,96kgMen,Snatch,579,False
5,BERTRAN Filip,SRB,"Sep 21, 2003",95.85,A,137,142,-146,142,96kgMen,Snatch,579,False
6,LOMTADZE Tornike,GEO,"Jan 05, 2004",93.05,A,134,138,141,141,96kgMen,Snatch,579,False
7,SUONIEMI Konsta Eemeli Kaarlonpoika,FIN,"Jun 10, 2004",95.40,B,-135,135,140,140,96kgMen,Snatch,579,False
8,BOROVSKYI Andrii,UKR,"Nov 30, 2005",95.65,A,135,140,-144,140,96kgMen,Snatch,579,False
9,SUNDH Victor Arvid,SWE,"Apr 23, 2003",96.00,B,134,137,-140,137,96kgMen,Snatch,579,False
10,MARGULIS Yanush,ISR,"Feb 04, 2006",94.50,B,127,132,136,136,96kgMen,Snatch,579,False
11,AXON Henry William,GBR,"May 12, 2003",95.40,B,-123,123,126,126,96kgMen,Snatch,579,False
12,TATARU Darius Stefan,ROU,"Dec 19, 2004",95.10,B,125,-135,-135,125,96kgMen,Snatch,579,False
1,TABAGARI Gervasi,GEO,"Jan 22, 2005",95.80,A,182,188,192,192,96kgMen,CleanJerk,579,False
2,LOMTADZE Tornike,GEO,"Jan 05, 2004",93.05,A,177,183,186,186,96kgMen,CleanJerk,579,False
