athlete_id,name,name_alt,date_of_birth,gender,nations
3367,CHIU Yi-lieh,NA,1983-11-11,M,TPE
4274,DIOSZEGI Istvan,NA,1983-11-11,M,ROU
6433,HEJDA Petr,NA,1983-11-13,M,CZE
6671,HOLMSTROM Elisabeth,NA,1983-11-15,W,NOR
13574,RENTERIA Fredy Andres,NA,1983-11-16,M,COL
1649,BABAYAN Artur,NA,1983-11-17,M,ARM
16746,VAITKUS Andrius,NA,1983-11-19,M,LTU
18012,ZHOU Dongnan,NA,1983-11-19,M,CHN
13980,ROSA DA SILVA Welisson,NA,1983-11-22,M,BRA
3016,CELIKKAYA Yesim,NA,1983-11-23,W,TUR
4913,FAMILIA CHECO Ernestina Mercedes,NA,1983-11-23,W,DOM
15276,SLABY Petr,NA,1983-11-25,M,CZE
13949,ROMANIDIS Romanos,NA,1983-11-28,M,GRE
2775,CALLAGHAN Nathanial,NA,1983-11-29,M,IRL
7953,KELLY Damon Joseph,NA,1983-12-01,M,AUS
8800,KUSCUOGLU Gokhan,NA,1983-12-04,M,TUR
9909,MAKHVEYENIA Henadzi,NA,1983-12-10,M,BLR
10300,MATHER Louisa,NA,1983-12-12,W,SCO
8382,KNEZ Ivan,NA,1983-12-17,M,CRO
4556,EDELIJO Mesquita,NA,1983-12-24,M,TLS
2870,CAO Lei,NA,1983-12-24,W,CHN
11851,NSUBUGA Ibrahim,NA,1983-12-26,M,UGA
9033,LAWAL Patience,NA,1983-12-28,W,NGR
2804,CAMBAR RODRIGUEZ Ivan,NA,1983-12-29,M,CUB
379,AHMED Jasim Ahmed,NA,1984-01-01,M,BRN
479,AL AHSANI Yusef,NA,1984-01-01,M,OMA
670,ALBINO RAMIREZ Roberto,NA,1984-01-01,M,USA
754,ALHUSAINI Ahmed,NA,1984-01-01,M,OMA
1367,ARNEDO Orlando,NA,1984-01-01,M,COL
1513,ATHUKORALA A. A. C.,NA,1984-01-01,M,SRI
2758,CALBAJAL Bafio,NA,1984-01-01,M,URU
4366,DONGOBIR Samuel,NA,1984-01-01,M,NRU
4887,FAHIM Mohamed,NA,1984-01-01,M,MAR
7954,KELLY Hendry,NA,1984-01-01,M,PNG
13613,REYES Manuel,NA,1984-01-01,M,MEX
13835,RODRIGEZ Pedro,NA,1984-01-01,M,MEX
14196,SADEGH Ghorbani,NA,1984-01-01,M,IRI
14396,SANABRIA Leonardo,NA,1984-01-01,M,PAR
16950,VELU Vinoth Kumar,NA,1984-01-01,M,IND
17763,YU Mingqiu,NA,1984-01-01,M,CHN
6624,HLUSHAK Tetyana,NA,1984-01-01,W,UKR
8149,KI Kwi-Soon,NA,1984-01-01,W,KOR
8447,KOKHANENKO Svitlana,NA,1984-01-01,W,UKR
8660,KRENDELEVA Tatiana,NA,1984-01-01,W,RUS
9422,LIU Dongping,NA,1984-01-01,W,CHN
10570,MENESES Maritza,NA,1984-01-01,W,COL
12301,OZIMAKOVA Kristina,NA,1984-01-01,W,SVK
13874,RODRIGUEZ Martha,NA,1984-01-01,W,COL
14707,SEBASTIAO Rafaela,NA,1984-01-01,W,BRA
15376,SOLIS Nubia,NA,1984-01-01,W,COL
16773,VALENTE Ana,NA,1984-01-01,W,BRA
17968,ZHANG Shihong,NA,1984-01-01,W,CHN
8096,KHIMCHIK Vassiliy,NA,1984-01-02,M,KAZ
12886,PINEDA Hector,NA,1984-01-02,M,VEN
15919,TAKAHASHI Toshiro,NA,1984-01-05,M,JPN
2819,CAMILLERI Matthew,NA,1984-01-07,M,MLT
17149,WAISWA Ezekiel,NA,1984-01-07,M,UGA
2378,BOON Alethea Leqetiviti Sokia,NA,1984-01-07,W,NZL
11180,MU Shuangshuang,NA,1984-01-07,W,CHN
1557,AVCI Abdurezzak,NA,1984-01-08,M,TUR
18019,ZHOU Yan,NA,1984-01-08,W,CHN
9547,LOPEZ Diego,NA,1984-01-10,M,MEX
4612,EL JLAILATI Adnan,NA,1984-01-11,M,LBN
6623,HLAYLATIE Adnan,NA,1984-01-11,M,LBN
10276,MASSOUD Mohamed Ehsan Attia,NA,1984-01-11,M,EGY
2612,BUNPHITHAK Pramsiri,NA,1984-01-13,W,THA
12725,PEREZ Nelly,NA,1984-01-13,W,VEN
13190,PUN Tara Devi,NA,1984-01-13,W,NEP
16196,THONGYIM Bunphithak,NA,1984-01-13,W,THA
17583,YANG Feng-Yu,NA,1984-01-16,M,TPE
4342,DOMINGUEZ Natividad,NA,1984-01-16,W,DOM
6826,HUANG Kuo-Shu,NA,1984-01-17,M,TPE
8979,LAOSIRIKUL Pensiri,NA,1984-01-17,W,THA
11927,O Jong Ae,NA,1984-01-17,W,PRK
14208,SAELAW Pensiri,NA,1984-01-17,W,THA
9602,LOUKANIN Maxim,NA,1984-01-19,M,RUS
12882,PINDEL Bartosz,NA,1984-01-20,M,POL
3563,COEHOORN Cory James,NA,1984-01-21,M,CAN
4849,EUAN Fabian,NA,1984-01-22,M,MEX
4850,EUAN Jose,NA,1984-01-22,M,MEX
16560,TURNER Benjamin,NA,1984-01-23,M,AUS
2264,BIRSHKIS Elena,NA,1984-01-23,W,RUS
17393,WNUCZEK Tomasz,NA,1984-01-24,M,POL
2446,BOUTROS Jamila,NA,1984-01-26,W,AUS
13296,RADA RODRIGUEZ Sergio Armando,NA,1984-01-27,M,COL
12764,PETER Yukio,NA,1984-01-29,M,NRU
11412,"NAHARUDIN Bin Mahayudin",NA,1984-01-30,M,MAS
3070,CHAKERI Mehrdad Safari,NA,1984-02-01,M,IRI
11951,OCHIENG James,NA,1984-02-01,M,KEN
17329,WIJESURYA C.S.S.P.,NA,1984-02-01,M,SRI
5966,GRYTHE Marie Mossige,NA,1984-02-02,W,NOR
5662,GOBEEV Mikhail,NA,1984-02-04,M,RUS
16516,TULIAYEVA Shemshat,NA,1984-02-04,W,BLR
1997,BECAREVIC Eldin,NA,1984-02-05,M,BIH
14530,SAPRONENKA Andrei,NA,1984-02-05,M,BLR
2325,BOHM Michael,NA,1984-02-08,M,GER
11950,OCHI Ippei,NA,1984-02-08,M,JPN
9351,LIN Chung-Chin,NA,1984-02-10,M,TPE
17728,YORK Michelle,NA,1984-02-10,W,GBR
3289,CHERNIAVSKA Svitlana,NA,1984-02-12,W,UKR
15051,SHRESTHA Surendra,NA,1984-02-13,M,NEP
17857,ZALATAROVA Aksana,NA,1984-02-18,W,"BLR, ISR"
8361,KLIANYE Aliaksandr,NA,1984-02-19,M,BLR
12190,ORTIZ Nelson,NA,1984-02-19,M,ECU
16497,TUALAU Kefilini,NA,1984-02-21,W,TGA
10679,MIHAILOVA Oksana,NA,1984-02-22,W,LAT
17177,WANG Fugang,NA,1984-02-23,M,CHN
14158,RYZHANKOU Maksim,NA,1984-02-25,M,BLR
4195,DIAZ Andres,NA,1984-03-01,M,ESP
5682,GOHARIZADEHFARD Gavad,NA,1984-03-05,M,IRI
9367,LIN Tsu-Ling,NA,1984-03-05,W,TPE
6807,HU Xujing,NA,1984-03-07,W,CHN
9729,LUSSIER Dominic,NA,1984-03-10,M,CAN
12962,POGHOSYAN Gevorik,NA,1984-03-13,M,ARM
13271,QUINTERO Jose Madrid,NA,1984-03-13,M,PAN
10109,MARIA Mejias,NA,1984-03-14,W,PUR
12853,PICON Monica Maria,NA,1984-03-14,W,COL
4442,DUBEY Prafull Kumar,NA,1984-03-16,M,IND
9009,LASKER Felix,NA,1984-03-19,M,ISR
16628,ULOKO Benedict,NA,1984-03-19,M,NGR
5848,GOVINDAN Elumalai,NA,1984-03-20,M,IND
15901,TAIRA Kenta,NA,1984-03-20,M,JPN
18092,ZUKOWSKI Sebastian,NA,1984-03-20,M,POL
4812,ESPELETA Carlos Luciano,NA,1984-03-21,M,ARG
12076,OLMEDO ALVAREZ Ruben Alexis,NA,1984-03-22,M,PUR
10767,MIRONYUK Nadiya,NA,1984-03-25,W,UKR
7382,JI Hun-Min,NA,1984-03-26,M,KOR
15478,SPIESS Jurgen Christian,NA,1984-03-26,M,GER
17087,VOJNOVIC Milijana,NA,1984-03-26,W,CRO
12937,PLAKKE Susan,NA,1984-03-27,W,NED
4402,DOVA Maria,NA,1984-03-28,W,GRE
8397,KO Sharon,NA,1984-03-29,W,CAN
5341,GALAN DEL RIO Roberto,NA,1984-03-30,M,ESP
9538,LOPEZ BOBADILLA Christian Alberto,NA,1984-03-30,M,GUA
11080,MORENO Raul Fuentes,NA,1984-04-01,M,ESP
15766,SUPHALAK Sitthitsak,NA,1984-04-03,M,THA
4553,ECHEVARRIA Carmen Iris,NA,1984-04-04,W,PUR
1150,ANDRADE Pinedo Silvia,NA,1984-04-05,W,BOL
7148,IVANENKA Natallia,NA,1984-04-07,W,BLR
4118,DEMIREL Iskender,NA,1984-04-11,M,TUR
1134,ANDERSON HORELL Ruth Mary,NA,1984-04-11,W,NZL
2976,CASTRO Luis,NA,1984-04-12,M,VEN
7522,JUAN Vargas,NA,1984-04-12,M,PUR
12297,OZDEMIR Gulsah,NA,1984-04-14,W,TUR
4649,ELGHOZLANY Ibrahim,NA,1984-04-15,M,EGY
16695,USMANOV Botir,NA,1984-04-15,M,UZB
3503,CIANCIO Christopher,NA,1984-04-17,M,AUS
12254,OTZOY CASTILLO Julissa Gabriel,NA,1984-04-18,W,GUA
8824,KUZNETSOV Vladimir,NA,1984-04-21,M,KAZ
227,ACOSTA Soledad,NA,1984-04-21,W,ARG
16041,TASGI Gokhan,NA,1984-04-25,M,TUR
7276,JARRA Muhamad,NA,1984-04-30,M,GAM
9058,LEAL Manuel,NA,1984-05-02,M,VEN
11138,MOTJAMELA Relebohile,NA,1984-05-02,M,LES
9868,MAIER Romain,NA,1984-05-04,M,FRA
7961,KENARI Mah. Esmaeilzadeh,NA,1984-05-06,M,IRI
